#pos_x,pos_y,vertical,horizontal,magnitude
16.5,1.5,7.976446496,44.77375644,45.47870891
16,1.5,5.747462704,44.90039083,45.26674745
15.5,1.5,7.022717243,43.91211652,44.47013081
15,1.5,5.315683338,44.53903077,44.85511956
14.5,1.5,9.869992532,43.82586563,44.92352669
14,1.5,8.536244778,43.48926867,44.31911511
13.5,1.5,9.994646299,42.32854018,43.49250819
13,1.5,10.29074576,41.73067945,42.98079869
12.5,1.5,9.212906702,41.51891168,42.52878645
12,1.5,7.994546856,41.08992078,41.86041531
11.5,1.5,5.873129849,40.34559632,40.77083267
11,1.5,4.351212894,42.42307802,42.6456399
10.5,1.5,4.837680401,41.81280492,42.09173087
10,1.5,6.64968124,41.54853813,42.07730126
9.5,1.5,6.030211665,40.97054848,41.41194629
9,1.5,5.903554973,40.13082661,40.56273174
8.5,1.5,7.072006445,39.67213184,40.29753491
8,1.5,7.31688043,39.92875295,40.59362082
7.5,1.5,3.888610587,40.47042861,40.65681843
7,1.5,2.556509104,42.7044276,42.78088213
6.5,1.5,6.069365037,43.55716344,43.97799085
6,1.5,4.313475217,43.7255942,43.93783855
5.5,1.5,4.432650932,43.92095293,44.14406529
5,1.5,4.510229363,44.26391319,44.49310261
4.5,1.5,8.952830127,44.77562571,45.66190781
4,1.5,7.863575848,45.12340016,45.8034613
3.5,1.5,7.998518773,44.71613951,45.42586747
3,1.5,11.0286379,45.84614184,47.15399851
2.5,1.5,11.51878338,44.25479509,45.72930417
2,1.5,6.962608408,44.2752812,44.81939805
1.5,1.5,8.739071973,44.1860143,45.04192756
1,1.5,8.308700947,44.21581873,44.98970035
0.5,1.5,9.922729054,44.67663568,45.76529611
0,1.5,10.10158406,44.09262258,45.23495735
0,2,-30.93173402,33.77634148,45.79970975
0.5,2,-30.06312666,34.6433938,45.86890361
1,2,-27.57716035,36.22859135,45.53032621
1.5,2,-27.73330649,37.34950534,46.52012294
2,2,-26.922041,37.53067593,46.18817952
2.5,2,-28.3930465,37.65642056,47.16111851
3,2,-28.29083311,37.37695185,46.87651617
3.5,2,-30.80836223,34.75651377,46.44534888
4,2,-28.80855238,35.40949566,45.64827568
4.5,2,-27.86560919,34.7554425,44.54697475
5,2,-28.07803269,34.95005302,44.83170893
5.5,2,-26.40186809,37.1422019,45.56974655
6,2,-24.02408728,36.73116304,43.89003427
6.5,2,-25.8876725,35.37144862,43.83276132
7,2,-26.54898857,33.66080536,42.87071975
7.5,2,-25.40464799,32.91195626,41.5763515
8,2,-24.90435345,32.67313098,41.08236007
8.5,2,-25.22243716,32.43044101,41.08411908
9,2,-25.20043912,33.65790143,42.04659868
9.5,2,-27.24980556,33.77486645,43.39692969
10,2,-25.85510538,34.31859467,42.96803945
10.5,2,-27.68897726,33.82909891,43.71598557
11,2,-25.26954119,33.50957524,41.96952877
11.5,2,-22.14902427,34.87395257,41.3130953
12,2,-22.65198761,34.34241916,41.14017861
12.5,2,-20.28895674,37.36753668,42.52028414
13,2,-19.56577996,38.28766847,42.99727087
13.5,2,-20.68091699,38.57669297,43.77055595
14,2,-22.52164001,37.23231444,43.51401507
14.5,2,-20.50168451,39.33074393,44.35342699
15,2,-21.19773754,39.41382944,44.75258683
15.5,2,-20.79453953,36.93198447,42.38377462
16,2,-21.45666633,37.52489214,43.22621959
16.5,2,-21.40321402,39.04724028,44.52846891
17,2,-23.54430857,38.4488774,45.08492696
17.5,2,-21.63220284,39.85968041,45.35136516
18,2,-21.0935472,41.58435644,46.62827934
18.5,2,-23.16421206,42.57520617,48.46884464
19,2,-21.70567552,42.62229269,47.83091243
19.5,2,-20.45817192,42.69965023,47.34761798
20,2,-17.7253956,43.65846335,47.11954023
20,2.5,5.292314204,46.94601551,47.24338009
19.5,2.5,5.062139913,47.4740549,47.74317909
19,2.5,4.530118059,46.52042024,46.74046928
18.5,2.5,5.544854298,46.44825619,46.77804947
18,2.5,3.97129818,45.55572709,45.72849746
17.5,2.5,6.47311876,44.74539881,45.21119309
17,2.5,4.054942888,42.89842349,43.0896426
16.5,2.5,3.968288533,44.556577,44.7329394
15.5,2.5,-6.393527245,42.92345267,43.39700427
15,2.5,2.80223766,44.50755021,44.59567873
14.5,2.5,4.357051472,43.93145891,44.14699287
14,2.5,2.871767062,44.93233024,45.02400856
13.5,2.5,5.238625577,43.83848585,44.15037983
13,2.5,4.973743322,44.08233828,44.36204088
12.5,2.5,5.017765896,42.35675631,42.65293401
12,2.5,3.115123737,41.6874715,41.80369931
11.5,2.5,3.23421666,43.15863122,43.27964425
11,2.5,2.955356444,42.9371859,43.03877397
10.5,2.5,6.34818189,43.233193,43.6967778
10,2.5,6.814180695,43.59308692,44.12244651
9.5,2.5,7.335064229,43.3148387,43.93151965
9,2.5,6.0113683,43.3068346,43.72205933
8.5,2.5,6.673364413,44.66188365,45.1576975
8,2.5,5.585721471,43.55713143,43.91382451
7.5,2.5,9.554046942,42.38458571,43.4480485
7,2.5,11.52891185,43.26626297,44.77594577
6.5,2.5,7.344876771,43.95304619,44.56251209
6,2.5,10.97643014,44.38582488,45.72289874
5.5,2.5,6.995373454,44.66200391,45.20652434
5,2.5,9.049833131,44.53857612,45.44869902
4.5,2.5,9.59516679,43.05490809,44.1111362
3.5,2.5,4.157415892,46.73405106,46.91860649
3,2.5,7.350080595,46.91332155,47.4856128
2.5,2.5,4.273604291,47.42443063,47.61659705
2,2.5,7.25261547,46.55782147,47.11932906
1.5,2.5,9.217160104,45.3051117,46.23320437
1,2.5,8.319657908,45.36630319,46.12285955
0.5,2.5,9.334469464,45.00146629,45.9593765
0,2.5,10.68510696,43.43367454,44.72868872
0,3,-30.86232479,31.91549492,44.39686822
0.5,3,-29.70324336,34.3813543,45.43523071
1,3,-28.77668838,35.94000165,46.04108505
1.5,3,-30.15219773,36.19649674,47.10988648
2,3,-27.72896295,37.2319467,46.42319723
2.5,3,-30.76378499,37.73777677,48.68829697
3,3,-30.31622181,37.11237037,47.92078191
4.5,3,-35.14419437,31.03461999,46.88562717
5,3,-33.59720967,31.48658221,46.04538367
5.5,3,-31.65776808,33.05961334,45.7728338
6,3,-30.987909,33.16473821,45.3888793
